1,53-04-07-00,ค่าอะไหล่,0.131509087
2,M-01-01-RL,ปะสติมยางหลัง ซ้าย,0.035327752
3,M-02-01-0001,สลับยาง-หน้าหลัง,0.031652032
4,M-03-01-1516,ถ่วงล้อ,0.056565244
5,M-04-01-0003,จุ๊บเติมลม ฟรี,0.082499489
6,M-05-01-0001,เจียรจานประชิดล้อหน้า ขวา-ซ้าย,0.037574025
7,M-08-02-0002,ตั้งศูนย์,0.06963447
8,M-08-02-0003,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),0.06779661
9,M-SERVICE-01,ค่าบริการ,0.195629978
10,MOBIL 10W-30,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),0.045538085
11,S-RING,แหวนรองน็อตน้ำมันเครื่อง,0.043700225
12,S555,กรองเครื่อง,0.132938534
13,SBREAKPAD-02,ผ้าเบรคหน้า,0.036757198
